FIPS,CountyState,Latitude,Longitude,State,Type,Region,VoteDemocratic2016,VoteRepublican2016,DifferenceTotal,VotesTotal2016,PercentageDemocratic2016,PercentageRepublican2016,DemocratOrRepublican,PercentageDemocratOrRepublican,OnlyRepublicanPERCENTAGE2016,OnlyDemocratPERCENTAGE2016,VotesONLYRepublican2016,VotesONLYDDemocratic2016,,C Income/Capita,College2014,BlackPercentage,AsianPercentage,HispanicPercentage,ForeignBornPercentage,PovertyPercentage2014,PopulationDensity,LandArea,Obese2013,MedianIncomeHousehold2014
48031,"Briscoe County, Texas",34.481168,-101.27309,TX,County,Central-S,91,625,534,736.00,12,85,0,85,0.85,0,534,0,,27796,0.65,0.01,0.01,0.44,0.06,0.12,1.5,6184,0.28,40179
48033,"Brooks County, Texas",27.099427,-98.20743,TX,County,Central-S,1937,613,1324,2596.00,75,24,1,-75,0,0.75,0,1324,,20697,0.5,0.03,0,0.29,0.11,0.19,1.8,900,0.26,42139
48035,"Brown County, Texas",31.772058,-98.9987,TX,County,Central-S,1621,12017,10396,14026.00,12,86,0,86,0.86,0,10396,0,,14345,0.29,0.01,0.01,0.9,0.06,0.38,7.7,943,0.27,27875
48037,"Burleson County, Texas",30.443577,-96.61553,TX,County,Central-S,1491,5316,3825,6960.00,21,76,0,76,0.76,0,3825,0,,21236,0.45,0.04,0.01,0.21,0.04,0.18,40.4,944,0.25,41316
48039,"Burnet County, Texas",30.717671,-98.2245,TX,County,Central-S,3797,14638,10841,19203.00,20,76,0,76,0.76,0,10841,0,,21529,0.43,0.13,0,0.2,0.06,0.15,26.1,659,0.3,48140
48041,"Caldwell County, Texas",29.815078,-97.66867,TX,County,Central-S,4795,6691,1896,12091.00,40,55,0,55,0.55,0,1896,0,,24998,0.53,0.02,0.01,0.2,0.06,0.16,43,994,0.3,53203
48043,"Calhoun County, Texas",28.536332,-96.62048,TX,County,Central-S,2118,4638,2520,6965.00,30,67,0,67,0.67,0,2520,0,,19673,0.43,0.07,0.01,0.47,0.05,0.19,69.8,545,0.26,47227
48045,"Callahan County, Texas",32.326246,-99.37114,TX,County,Central-S,569,4865,4296,5579.00,10,87,0,87,0.87,0,4296,0,,23381,0.47,0.03,0.05,0.47,0.09,0.18,42.2,507,0.29,46705
48047,"Cameron County, Texas",26.082987,-97.55744,TX,County,Central-S,59402,29472,29930,92069.00,65,32,1,-65,0,0.65,0,29930,,22855,0.49,0.01,0.01,0.09,0.02,0.15,15.1,899,0.28,40796
48049,"Camp County, Texas",32.983837,-95.00006,TX,County,Central-S,1260,3201,1941,4542.00,28,70,0,70,0.7,0,1941,0,,14710,0.4,0.01,0.01,0.86,0.24,0.35,455.9,891,0.33,32215
48051,"Carson County, Texas",35.406697,-101.26615,TX,County,Central-S,249,2620,2371,2964.00,8,88,0,88,0.88,0,2371,0,,19176,0.44,0.17,0.01,0.23,0.12,0.22,63.3,196,0.32,37801
48053,"Cass County, Texas",33.07718,-94.32306,TX,County,Central-S,2391,9726,7335,12344.00,19,79,0,79,0.79,0,7335,0,,26827,0.6,0.01,0.01,0.1,0.03,0.07,6.7,920,0.28,58425
48055,"Castro County, Texas",34.529907,-102.28217,TX,County,Central-S,526,1414,888,1997.00,26,71,0,71,0.71,0,888,0,,20104,0.41,0.17,0,0.04,0.02,0.21,32.5,937,0.31,39256
48057,"Chambers County, Texas",29.751647,-94.6779,TX,County,Central-S,2948,13339,10391,16785.00,18,79,0,79,0.79,0,10391,0,,19708,0.33,0.03,0.01,0.65,0.2,0.24,9,894,0.28,42966
48059,"Cherokee County, Texas",31.894757,-95.18992,TX,County,Central-S,3469,12919,9450,16763.00,21,77,0,77,0.77,0,9450,0,,30140,0.53,0.08,0.01,0.19,0.08,0.1,58.8,597,0.29,77281
48061,"Childress County, Texas",34.473131,-100.20585,TX,County,Central-S,253,1802,1549,2084.00,12,86,0,86,0.86,0,1549,0,,18801,0.45,0.15,0.01,0.22,0.1,0.25,48.3,1053,0.3,38465
48063,"Clay County, Texas",33.774574,-98.19121,TX,County,Central-S,536,4377,3841,5018.00,11,87,0,87,0.87,0,3841,0,,20248,0.49,0.1,0.01,0.29,0.04,0.16,10.1,696,0.27,39025
48065,"Cochran County, Texas",33.654603,-102.78795,TX,County,Central-S,190,679,489,901.00,21,75,0,75,0.75,0,489,0,,25867,0.51,0.01,0,0.05,0.02,0.1,9.9,1089,0.29,50993
48067,"Coke County, Texas",31.89956,-100.50552,TX,County,Central-S,140,1265,1125,1423.00,10,89,0,89,0.89,0,1125,0,,17371,0.37,0.05,0,0.6,0.16,0.15,4,775,0.27,39870
48069,"Coleman County, Texas",31.8236,-99.44166,TX,County,Central-S,388,3177,2789,3643.00,11,87,0,87,0.87,0,2789,0,,26407,0.53,0.01,0,0.22,0.04,0.11,3.6,911,0.28,41593
48071,"Collin County, Texas",33.12961,-96.64646,TX,County,Central-S,140624,201014,60390,361403.00,39,56,0,56,0.56,0,60390,0,,18967,0.42,0.03,0.01,0.18,0.01,0.28,7,1262,0.28,37497
48073,"Collingsworth County, Texas",34.925649,-100.24028,TX,County,Central-S,145,983,838,1156.00,13,85,0,85,0.85,0,838,0,,37839,0.78,0.09,0.11,0.13,0.16,0.08,930.3,841,0.25,86634
48075,"Colorado County, Texas",29.639363,-96.54048,TX,County,Central-S,1987,6325,4338,8513.00,23,74,0,74,0.74,0,4338,0,,22847,0.47,0.06,0,0.32,0.12,0.2,3.3,918,0.28,38655
48077,"Comal County, Texas",29.779384,-98.22755,TX,County,Central-S,14238,45136,30898,62176.00,23,73,0,73,0.73,0,30898,0,,24348,0.42,0.13,0.01,0.28,0.08,0.17,21.7,960,0.29,46484
48079,"Comanche County, Texas",31.972345,-98.56231,TX,County,Central-S,789,4333,3544,5237.00,15,83,0,83,0.83,0,3544,0,,32980,0.65,0.02,0.01,0.23,0.05,0.1,194,559,0.27,64533
48081,"Concho County, Texas",31.335322,-99.87772,TX,County,Central-S,148,885,737,1068.00,14,83,0,83,0.83,0,737,0,,19268,0.44,0.01,0,0.28,0.07,0.26,14.9,938,0.28,38280
48083,"Cooke County, Texas",33.621744,-97.16828,TX,County,Central-S,2352,13181,10829,15955.00,15,83,0,83,0.83,0,10829,0,,19976,0.32,0.02,0,0.55,0.31,0.16,4.2,984,0.28,40837
48085,"Coryell County, Texas",31.307241,-97.80856,TX,County,Central-S,5064,12225,7161,18250.00,28,67,0,67,0.67,0,7161,0,,25186,0.54,0.03,0.01,0.17,0.08,0.15,43.9,875,0.29,57378
48087,"Cottle County, Texas",34.057594,-100.26178,TX,County,Central-S,92,506,414,612.00,15,83,0,83,0.83,0,414,0,,19357,0.57,0.17,0.02,0.17,0.05,0.13,71.7,1052,0.3,47018
48089,"Crane County, Texas",31.440275,-102.45207,TX,County,Central-S,299,1049,750,1384.00,22,76,0,76,0.76,0,750,0,,21089,0.43,0.1,0,0.25,0.05,0.15,1.7,901,0.27,32722
48091,"Crockett County, Texas",30.743945,-101.35575,TX,County,Central-S,372,980,608,1395.00,27,70,0,70,0.7,0,608,0,,22291,0.41,0.04,0.01,0.53,0.15,0.14,5.6,785,0.29,61098
48093,"Crosby County, Texas",33.623819,-101.31616,TX,County,Central-S,468,1181,713,1728.00,27,68,0,68,0.68,0,713,0,,23872,0.39,0.02,0.01,0.63,0.1,0.17,1.3,2807,0.28,49614
48095,"Culberson County, Texas",31.307922,-104.58032,TX,County,Central-S,454,280,174,767.00,59,37,1,-59,0,0.59,0,174,,18959,0.38,0.04,0,0.55,0.05,0.27,6.7,900,0.28,36627
48097,"Dallam County, Texas",36.192362,-102.66493,TX,County,Central-S,222,1261,1039,1544.00,14,82,0,82,0.82,0,1039,0,,16227,0.28,0.01,0.01,0.78,0.14,0.25,0.6,3813,0.28,33637
48099,"Dallas County, Texas",32.803579,-96.78882,TX,County,Central-S,461080,262945,198135,758934.00,61,35,1,-61,0,0.61,0,198135,,19752,0.42,0.02,0.01,0.4,0.16,0.18,4.5,1503,0.32,43523
48101,"Dawson County, Texas",32.743319,-101.93836,TX,County,Central-S,835,2636,1801,3562.00,23,74,0,74,0.74,0,1801,0,,26816,0.54,0.23,0.05,0.37,0.22,0.19,2718.9,871,0.28,50118
48103,"Deaf Smith County, Texas",34.895916,-102.50162,TX,County,Central-S,1185,2911,1726,4213.00,28,69,0,69,0.69,0,1726,0,,17677,0.35,0.07,0.01,0.57,0.09,0.22,15.4,900,0.3,41876
48105,"Delta County, Texas",33.388817,-95.71004,TX,County,Central-S,400,1836,1436,2281.00,18,80,0,80,0.8,0,1436,0,,17532,0.38,0.02,0.01,0.71,0.17,0.19,12.9,1497,0.29,41499
48107,"Denton County, Texas",33.134638,-97.05969,TX,County,Central-S,110890,170603,59713,298630.00,37,57,0,57,0.57,0,59713,0,,20150,0.49,0.07,0.01,0.07,0.01,0.18,20.4,257,0.28,38304
48109,"DeWitt County, Texas",29.091822,-97.33288,TX,County,Central-S,1163,5519,4356,6844.00,17,81,0,81,0.81,0,4356,0,,33855,0.73,0.09,0.06,0.17,0.12,0.09,754.7,878,0.22,74569
48111,"Dickens County, Texas",33.591236,-100.8167,TX,County,Central-S,128,755,627,909.00,14,83,0,83,0.83,0,627,0,,23720,0.39,0.1,0,0.33,0.03,0.14,22.1,909,0.31,45717
48113,"Dimmit County, Texas",28.462555,-99.75482,TX,County,Central-S,2173,974,1199,3225.00,67,30,1,-67,0,0.67,0,1199,,20578,0.47,0.06,0.01,0.33,0.04,0.19,2.7,902,0.27,35924
48115,"Donley County, Texas",34.977385,-100.81459,TX,County,Central-S,191,1225,1034,1465.00,13,84,0,84,0.84,0,1034,0,,17516,0.4,0.02,0.01,0.77,0.06,0.27,7.5,1329,0.3,36856
48117,"Duval County, Texas",27.712895,-98.51444,TX,County,Central-S,2783,1316,1467,4168.00,67,32,1,-67,0,0.67,0,1467,,21904,0.51,0.05,0,0.11,0.02,0.17,4,927,0.28,37263
48119,"Eastland County, Texas",32.349233,-98.82104,TX,County,Central-S,776,6011,5235,6963.00,11,86,0,86,0.86,0,5235,0,,20181,0.32,0.01,0,0.9,0.03,0.2,6.6,1793,0.28,35069
48121,"Ector County, Texas",31.867206,-102.43482,TX,County,Central-S,10249,25020,14771,36528.00,28,68,0,68,0.68,0,14771,0,,21125,0.46,0.02,0.01,0.16,0.04,0.19,20.1,926,0.28,36591
48123,"Edwards County, Texas",30.025625,-100.24844,TX,County,Central-S,303,746,443,1073.00,28,70,0,70,0.7,0,443,0,,24247,0.45,0.05,0.01,0.5,0.12,0.16,152.7,898,0.32,55555
48125,"Ellis County, Texas",32.391428,-96.79843,TX,County,Central-S,16253,44941,28688,63668.00,26,71,0,71,0.71,0,28688,0,,22015,0.44,0.01,0.01,0.58,0.14,0.18,0.9,2118,0.27,35554
48127,"El Paso County, Texas",31.770159,-106.35181,TX,County,Central-S,147843,55512,92331,213993.00,69,26,1,-69,0,0.69,0,92331,,25662,0.54,0.09,0.01,0.23,0.07,0.12,160,935,0.3,61157
